"NO","PACKAGING TYPE","WORK ORDER","PO NO.","ITEM NO.","BRAND","COMPANY","CUSTOMER GROUP","BATERY TYPE","CELL GRADE","ORDER QTY","CR DATE","PRICE","STANDARD PRICE","TERM","CURRENCY","SALES AMOUNT","QTY WH","QTY IN TRANSIT","SALES MOUNT","JAN QTY","JAN AMT","FEB QTY","FEB AMT","MAR QTY","MAR AMT","APR QTY","APR AMT","MAY QTY","MAY AMT","JUN QTY","JUN AMT","JUL QTY","JUL AMT","AUG QTY","AUG AMT","SEP QTY","SEP AMT","OCT QTY","OCT AMT","NOV AMT","NOV AMT","DES AMT","DES AMT"
"43","AUTO SHRINK","","'US forecast","88680","AMAZON BASICS US LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON USA","LR6","G07NC","2,800,000","28-FEB-18","0.1071","0.1026","FOB","USD","299,880","0","0","2","0","0","2,800,000","287,280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","AUTO SHRINK","","'US forecast","88680","AMAZON BASICS US LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON USA","LR6","G07NC","5,600,000","29-MAR-18","0.1071","0.1026","FOB","USD","599,760","0","0","3","0","0","0","0","5,600,000","574,560","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","AUTO SHRINK","","'US forecast","88680","AMAZON BASICS US LR6 (4SX12)","FDK CORPORATION","OVERSEAS - AMAZON USA","LR6","G07NC","5,600,000","21-APR-18","0.1071","0.1026","FOB","USD","599,760","0","0","4","0","0","0","0","0","0","88,960","9,127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","BLISTER","0008589-LR03C1-2","'0008589","23152","MAXELL SEVEN LR03 2B","MAXELL ASIA, LTD","FI DIRECT - MAXELL","LR03","C1","40,000","04-JAN-18","0.1","0.0819","FOB","USD","4,000","0","0","1","40,000","3,276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","BLISTER","0008589-LR03G06-4","'0008589","57281","MAXELL DX LR03 2B","MAXELL ASIA, LTD","FI DIRECT - MAXELL","LR03","G06","20,000","04-JAN-18","0.11","0.11","FOB","USD","2,200","0","0","1","20,000","2,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","BLISTER","0008589-LR6C1-1","'0008589","23051","MAXELL SEVEN LR6 2B","MAXELL ASIA, LTD","FI DIRECT - MAXELL","LR6","C1","80,000","28-DEC-17","0.109","0.109","FOB","USD","8,720","80,000","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80,000","8,720"
"49","BLISTER","0008589-LR6G06-3","'0008589","57251","MAXELL DX LR6 2B","MAXELL ASIA, LTD","FI DIRECT - MAXELL","LR6","G06","60,000","28-DEC-17","0.123","0.121","FOB","USD","7,380","60,000","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60,000","7,260"
"50","BLISTER","0008663-LR03C1-1","'0008663","23152","MAXELL SEVEN LR03 2B","MAXELL ASIA, LTD","FI DIRECT - MAXELL","LR03","C1","6,000","04-JAN-18","0.1","0.0819","FOB","USD","600","0","0","1","6,000","491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","BLISTER","0008663-LR6C1-3","'0008663","23051","MAXELL SEVEN LR6 2B","MAXELL ASIA, LTD","FI DIRECT - MAXELL","LR6","C1","12,000","04-JAN-18","0.109","0.109","FOB","USD","1,308","12,000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","BLISTER","0008663-LR6G06-5","'0008663","34571","MAXELL DX ARB LR6 2B","MAXELL ASIA, LTD","FI DIRECT - MAXELL","LR6","G06","7,150","04-JAN-18","0.123","0.123","FOB","USD","879","0","0","1","7,150","879","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","BLISTER","17FI065-LR1C-1","'17FI065","29890","FUJITSU F LR1 2B","FDK CORPORATION","DOMESTIC - B TO B","LR1","C","28,000","08-DEC-17","0.1494","0.1221","FOB","USD","4,183","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168,000","20,513"
"54","BLISTER","17FI070-LR03C1-6","'17FI070","30545","MITSUBISHI GD LR03 4B","FDK CORPORATION","FDK E - MITSUBISHI GD","LR03","C1","40,000","12-DEC-17","0.154","0.0995","FOB","USD","6,160","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80,000","7,960"
"55","BLISTER","17FI070-LR6C1-3","'17FI070","21293","MITSUBISHI GD LR6 2BN","FDK CORPORATION","FDK E - MITSUBISHI GD","LR6","C1","20,000","12-DEC-17","0.2442","0.181","FOB","USD","4,884","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120,000","21,720"
"56","BLISTER","17FI070-LR6C1-4","'17FI070","14835","MITSUBISHI GD LR6 4B","FDK CORPORATION","FDK E - MITSUBISHI GD","LR6","C1","80,000","12-DEC-17","0.1954","0.1345","FOB","USD","15,632","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240,000","32,280"
"57","BLISTER","17FI076-LR03C1-5","'17FI076","30533","MITSUBISHI GD LR03 2BN","FDK CORPORATION","FDK E - MITSUBISHI GD","LR03","C1","20,000","18-JAN-18","0.147","0.147","FOB","USD","2,940","0","0","1","20,000","2,940","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","BLISTER","17FI076-LR6C1-3","'17FI076","21293","MITSUBISHI GD LR6 2BN","FDK CORPORATION","FDK E - MITSUBISHI GD","LR6","C1","20,000","18-JAN-18","0.2442","0.181","FOB","USD","4,884","0","0","1","20,000","3,620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
